,city_name,date,白天,晚上
0,基隆市,06/24,28-31,25-29
1,基隆市,06/25,26-30,25-28
2,基隆市,06/26,26-31,25-29
3,基隆市,06/27,26-30,25-29
4,基隆市,06/28,26-30,25-28
5,基隆市,06/29,25-30,25-28
6,基隆市,06/30,25-30,25-28
7,臺北市,06/24,25-36,26-31
8,臺北市,06/25,26-34,26-30
9,臺北市,06/26,26-34,26-30
10,臺北市,06/27,26-34,26-30
11,臺北市,06/28,26-33,25-29
12,臺北市,06/29,25-33,25-29
13,臺北市,06/30,25-33,25-30
14,新北市,06/24,27-36,26-32
15,新北市,06/25,26-34,26-31
16,新北市,06/26,26-34,26-31
17,新北市,06/27,26-34,26-30
18,新北市,06/28,27-33,26-30
19,新北市,06/29,26-33,26-30
20,新北市,06/30,26-33,26-30
21,桃園市,06/24,30-34,25-31
22,桃園市,06/25,25-33,25-30
23,桃園市,06/26,25-33,25-30
24,桃園市,06/27,25-32,26-30
25,桃園市,06/28,26-32,25-30
26,桃園市,06/29,25-32,25-29
27,桃園市,06/30,25-32,25-29
28,新竹市,06/24,29-32,26-30
29,新竹市,06/25,27-31,26-30
30,新竹市,06/26,26-32,26-30
31,新竹市,06/27,26-31,26-29
32,新竹市,06/28,26-31,26-29
33,新竹市,06/29,26-30,26-29
34,新竹市,06/30,26-31,26-29
35,新竹縣,06/24,29-33,26-31
36,新竹縣,06/25,26-33,25-30
37,新竹縣,06/26,26-33,25-30
38,新竹縣,06/27,26-32,26-30
39,新竹縣,06/28,26-32,26-30
40,新竹縣,06/29,26-31,25-29
41,新竹縣,06/30,26-32,26-30
42,苗栗縣,06/24,29-33,26-31
43,苗栗縣,06/25,27-32,26-30
44,苗栗縣,06/26,26-33,26-30
45,苗栗縣,06/27,26-32,26-30
46,苗栗縣,06/28,26-32,26-30
47,苗栗縣,06/29,26-31,26-29
48,苗栗縣,06/30,26-32,26-30
49,臺中市,06/24,31-34,26-31
50,臺中市,06/25,26-34,26-31
51,臺中市,06/26,26-34,26-31
52,臺中市,06/27,26-33,27-31
53,臺中市,06/28,27-33,27-31
54,臺中市,06/29,27-33,26-30
55,臺中市,06/30,26-33,26-30
56,彰化縣,06/24,30-34,26-31
57,彰化縣,06/25,26-33,26-30
58,彰化縣,06/26,26-33,26-30
59,彰化縣,06/27,26-33,26-30
60,彰化縣,06/28,26-32,26-30
61,彰化縣,06/29,26-32,26-30
62,彰化縣,06/30,26-32,26-30
63,南投縣,06/24,26-34,25-31
64,南投縣,06/25,25-33,25-30
65,南投縣,06/26,25-33,25-30
66,南投縣,06/27,25-33,25-30
67,南投縣,06/28,25-33,25-30
68,南投縣,06/29,25-33,25-30
69,南投縣,06/30,25-33,25-30
70,雲林縣,06/24,26-34,25-30
71,雲林縣,06/25,25-33,25-30
72,雲林縣,06/26,25-33,25-30
73,雲林縣,06/27,25-33,25-30
74,雲林縣,06/28,25-33,25-29
75,雲林縣,06/29,25-33,25-29
76,雲林縣,06/30,25-32,25-29
77,嘉義市,06/24,31-35,25-31
78,嘉義市,06/25,25-34,25-30
79,嘉義市,06/26,25-34,25-30
80,嘉義市,06/27,25-34,25-30
81,嘉義市,06/28,25-33,25-30
82,嘉義市,06/29,25-33,25-30
83,嘉義市,06/30,25-33,25-30
84,嘉義縣,06/24,31-34,26-31
85,嘉義縣,06/25,26-33,25-31
86,嘉義縣,06/26,25-33,25-30
87,嘉義縣,06/27,25-34,26-31
88,嘉義縣,06/28,26-33,26-30
89,嘉義縣,06/29,26-33,26-30
90,嘉義縣,06/30,26-33,26-30
91,臺南市,06/24,31-33,28-31
92,臺南市,06/25,28-32,28-30
93,臺南市,06/26,28-32,27-30
94,臺南市,06/27,28-33,28-31
95,臺南市,06/28,28-32,28-30
96,臺南市,06/29,28-32,27-30
97,臺南市,06/30,27-31,27-30
98,高雄市,06/24,32-34,29-32
99,高雄市,06/25,29-33,28-32
100,高雄市,06/26,28-33,28-32
101,高雄市,06/27,28-33,28-32
102,高雄市,06/28,28-33,28-31
103,高雄市,06/29,28-33,28-31
104,高雄市,06/30,28-33,28-31
105,屏東縣,06/24,32-35,25-32
106,屏東縣,06/25,25-34,25-31
107,屏東縣,06/26,25-34,25-31
108,屏東縣,06/27,25-34,25-31
109,屏東縣,06/28,25-34,25-31
110,屏東縣,06/29,25-34,25-31
111,屏東縣,06/30,25-33,25-30
112,宜蘭縣,06/24,29-33,25-29
113,宜蘭縣,06/25,26-33,25-29
114,宜蘭縣,06/26,25-32,25-29
115,宜蘭縣,06/27,25-32,25-29
116,宜蘭縣,06/28,25-32,25-29
117,宜蘭縣,06/29,25-31,25-28
118,宜蘭縣,06/30,25-31,25-28
119,花蓮縣,06/24,30-32,26-30
120,花蓮縣,06/25,26-32,25-29
121,花蓮縣,06/26,26-32,26-29
